Time, Battery Temperature, Core Temperature, Charge, Remaining Time, Brightness, Free Memory, Total Memory, Chrome Memory
1505048940.000000, 28.8    , 31.81   , 55      , 4:55    , 0.584961, 359.000000, 11991.207031, 134399556
1505049000.000000, 28.89   , 33.13   , 55      , 4:45    , 0.901367, 261.000000, 12040.062500, 134414880
1505049060.000000, 28.89   , 33.31   , 54      , 4:35    , 0.507812, 195.000000, 12031.328125, 134402044
1505049120.000000, 30.0    , 32.88   , 54      , 4:25    , 0.507812, 381.000000, 11833.960938, 138506356
1505049180.000000, 28.8    , 31.44   , 54      , 4:35    , 0.507812, 497.000000, 11712.023438, 134539436
1505049241.000000, 29.3    , 28.94   , 54      , 4:45    , 0.507812, 501.000000, 11709.664062, 134498404
1505049300.000000, 27.89   , 29.25   , 54      , 4:55    , 0.426758, 495.000000, 11714.261719, 134507696
1505049360.000000, 29.0    , 32.5    , 52      , 4:45    , 0.477539, 952.000000, 11131.265625, 134480496
1505049420.000000, 29.3    , 34.94   , 52      , 4:35    , 0.492188, 1015.000000, 10883.765625, 134507024
1505049480.000000, 28.59   , 34.38   , 52      , 4:25    , 0.492188, 1382.000000, 10755.507812, 134501576
1505049541.000000, 29.3    , 31.25   , 52      , 4:35    , 0.492188, 1530.000000, 10756.683594, 134500040
1505049600.000000, 27.89   , 28.94   , 52      , 4:45    , 0.492188, 1544.000000, 10688.222656, 134501332
1505049660.000000, 27.59   , 30.25   , 52      , 4:35    , 0.492188, 1502.000000, 10751.558594, 134528504
1505049720.000000, 27.5    , 29.25   , 52      , 4:45    , 0.460938, 1344.000000, 10750.582031, 134508796
1505049780.000000, 28.3    , 27.81   , 52      , 4:55    , 0.507812, 1338.000000, 10754.421875, 134493308
1505049840.000000, 28.09   , 28.31   , 52      , 5:05    , 0.507812, 1336.000000, 10757.195312, 134487508
1505049900.000000, 26.89   , 28.13   , 52      , 5:15    , 0.507812, 1527.000000, 10760.722656, 134500328
1505049960.000000, 26.8    , 28.25   , 52      , 5:25    , 0.414062, 1431.000000, 10809.437500, 134517924
1505054460.000000, 26.09   , 27.63   , 51      , Calculating, 0.439453, 4455.000000, 11211.691406, 134333064
1505054520.000000, 27.19   , 35.31   , 50      , Calculating, 0.439453, 3569.000000, 11664.578125, 134287472
1505054580.000000, 28.19   , 33.88   , 50      , 2:30    , 0.439453, 3113.000000, 12026.375000, 138165160
1505054640.000000, 27.59   , 31.88   , 50      , 2:40    , 0.439453, 3109.000000, 12042.582031, 134291624
1505054700.000000, 29.19   , 33.88   , 49      , 2:50    , 0.439453, 3026.000000, 12107.921875, 134281764
1505054760.000000, 28.69   , 34.69   , 49      , 2:50    , 0.439453, 3138.000000, 11685.335938, 134283300
1505054820.000000, 30.3    , 35.75   , 49      , 2:40    , 0.439453, 2987.000000, 11778.027344, 134419896
1505054881.000000, 29.69   , 37.25   , 48      , 2:50    , 0.451172, 3475.000000, 11149.687500, 134397264
1505054940.000000, 31.39   , 40.0    , 48      , 2:40    , 0.451172, 3446.000000, 10798.425781, 128727520
