Time,Battery Temperature,Core Temperature,Charge,Remaining Time,Brightness,Free Memory,Total Memory,Chrome Memory
1505747280.0,36.0,44.63,39.0,76.0,57.6172,94.0,13293.523438,4887272.0
1505747341.0,34.89,43.19,39.0,81.0,56.4453,145.0,13387.382812,4876440.0
1505747400.0,34.5,40.63,39.0,86.0,56.4453,81.0,13365.648438,4866200.0
1505747460.0,35.3,44.31,38.0,87.0,55.3711,62.0,13329.582031,4867224.0
1505747520.0,35.3,45.56,37.0,81.0,55.3711,22.0,13391.527344,4875416.0
1505747580.0,34.5,44.75,37.0,78.0,55.4688,28.0,13459.632812,4868248.0
1505747641.0,34.59,47.81,36.0,73.0,55.4688,234.0,13467.097656,4877464.0
1505747700.0,36.3,56.81,35.0,68.0,55.4688,19.0,12495.71875,4868248.0
1505747760.0,37.0,63.44,34.0,64.0,55.4688,16.0,12555.519531,4878488.0
1505747820.0,36.69,61.19,32.0,60.0,55.4688,37.0,12582.183594,4877464.0
1505747880.0,37.5,64.13,31.0,33.0,55.4688,21.0,12641.605469,4868248.0
1505747940.0,39.0,64.13,30.0,30.0,55.4688,23.0,12660.75,4868248.0
1505748000.0,39.3,63.81,29.0,27.0,55.4688,19.0,12654.789062,4868248.0
1505748060.0,38.69,60.5,28.0,24.0,55.4688,20.0,11859.136719,4867224.0
1505748120.0,38.8,51.13,29.0,27.0,55.4688,169.0,11774.46875,4866200.0
1505748180.0,37.8,44.81,29.0,29.0,55.4688,189.0,11828.855469,4866200.0
1505748240.0,37.19,40.06,29.0,31.0,55.4688,61.0,11817.09375,4866200.0
1505748301.0,34.69,38.31,29.0,34.0,55.4688,103.0,11836.839844,4866200.0
1505748360.0,35.09,41.0,29.0,61.0,55.4688,243.0,11632.492188,4866200.0
1505748421.0,33.89,40.06,28.0,65.0,55.4688,103.0,11758.347656,4867224.0
1505748480.0,33.5,39.31,28.0,69.0,55.4688,25.0,11884.582031,4875416.0
1505748540.0,33.5,39.63,27.0,66.0,55.4688,166.0,11771.214844,4875416.0
1505748600.0,34.09,36.94,27.0,70.0,55.4688,117.0,11824.757812,4875416.0
1505748660.0,32.59,36.88,27.0,75.0,55.4688,67.0,11855.816406,4867224.0
1505748720.0,33.39,36.38,26.0,79.0,55.4688,254.0,11596.644531,4866200.0
1505748780.0,33.19,34.94,26.0,85.0,55.4688,254.0,11583.445312,4884632.0
1505748840.0,33.3,37.63,26.0,79.0,55.4688,414.0,11306.972656,4866200.0
1505748900.0,34.09,44.69,25.0,73.0,55.4688,21.0,11492.640625,4875416.0
1505748960.0,35.19,49.31,24.0,69.0,55.4688,91.0,11676.5,4866200.0
1505749020.0,36.0,47.25,23.0,64.0,55.4688,83.0,11901.898438,4876440.0
1505749080.0,36.09,46.75,23.0,61.0,55.4688,24.0,12134.816406,4868248.0
1505749140.0,36.19,45.5,23.0,33.0,55.4688,567.0,11424.558594,4866200.0
1505749200.0,36.3,43.88,22.0,32.0,55.4688,822.0,11133.117188,4868248.0
1505749260.0,36.09,44.31,22.0,35.0,55.4688,602.0,11304.890625,4866200.0
1505749320.0,34.8,42.25,22.0,62.0,55.4688,416.0,11376.09375,4875416.0
1505749381.0,34.59,43.5,21.0,34.0,55.4688,17.0,11952.960938,42043612.0
1505749440.0,34.5,43.31,21.0,60.0,55.4688,158.0,11714.011719,23027516.0
1505749500.0,35.3,41.44,21.0,64.0,55.4688,315.0,11448.222656,19121404.0
1505749560.0,35.3,46.63,20.0,60.0,55.4688,443.0,11425.335938,39212096.0
1505749621.0,36.09,50.31,19.0,33.0,55.4688,36.0,12041.546875,63982276.0
1505749680.0,36.19,44.81,19.0,30.0,55.4688,193.0,11939.425781,60418984.0
1505749741.0,34.69,41.5,19.0,33.0,55.4688,73.0,11961.941406,57237648.0
1505749800.0,35.3,43.38,19.0,35.0,55.4688,148.0,11798.847656,53817468.0
1505749860.0,35.19,43.44,18.0,32.0,55.4688,295.0,11860.554688,50361796.0
1505749920.0,35.0,40.69,18.0,29.0,55.4688,140.0,11942.40625,50258480.0
1505749980.0,33.5,39.75,18.0,31.0,55.4688,1332.0,11205.621094,50263096.0
1505750040.0,33.59,38.63,17.0,34.0,55.4688,2258.0,10050.207031,46510000.0
1505750100.0,34.39,44.06,17.0,61.0,55.4688,1665.0,10444.1875,58363448.0
1505750160.0,35.09,46.19,16.0,34.0,55.4688,1043.0,10941.835938,64874852.0
1505750220.0,34.8,51.44,15.0,31.0,55.4688,548.0,10811.609375,61231392.0
1505750280.0,36.19,47.69,15.0,28.0,55.4688,201.0,10885.535156,64815904.0
1505750340.0,36.39,45.63,15.0,25.0,55.4688,273.0,10841.929688,57888532.0
1505750400.0,36.19,46.13,14.0,23.0,55.4688,37.0,10966.105469,57906352.0
1505750460.0,35.69,54.56,13.0,21.0,55.4688,252.0,11217.632812,64809052.0
1505750520.0,37.39,61.94,12.0,19.0,58.9844,103.0,11304.054688,64728444.0
1505750580.0,38.19,63.88,10.0,18.0,58.1055,129.0,11194.808594,58080184.0
1505750641.0,37.69,64.69,9.0,16.0,58.1055,107.0,11177.585938,58128124.0
